,HR@1,HR@2,HR@3,HR@4,HR@5,HR@6,HR@7,HR@8,HR@9,HR@10
RAND,0.06028368794326241,0.11465721040189125,0.15484633569739953,0.20567375886524822,0.22458628841607564,0.2907801418439716,0.3557919621749409,0.3912529550827423,0.450354609929078,0.46926713947990545
STL,0.2907801418439716,0.3829787234042553,0.46099290780141844,0.5342789598108747,0.5921985815602837,0.6524822695035462,0.7021276595744681,0.7505910165484634,0.7860520094562647,0.817966903073286
RTM-G,0.33451536643026003,0.46926713947990545,0.5484633569739953,0.5945626477541371,0.6229314420803782,0.6725768321513003,0.7021276595744681,0.7458628841607565,0.7978723404255319,0.8404255319148937
